time	open	high	low	close	volume	stdev	blow	bmid	bhigh
2017-07-31 0:00:00	2729.25	2893.89	2679.98	2840	1004.07	290.4810116	1914.317977	2495.28	3076.242023
2017-08-01 0:00:00	2840	2900	2653.01	2739.09	689.78	299.5219181	1920.136164	2519.18	3118.223836
2017-08-02 0:00:00	2738.8	2758.86	2652	2703.66	718.99	300.269223	1939.620501	2540.158947	3140.697393
2017-08-03 0:00:00	2703.66	2804.17	2703.49	2788.88	1580.41	291.9551983	1981.745919	2565.656316	3149.566712
2017-08-04 0:00:00	2790.68	2877.23	2768	2858.03	1587.41	256.8610425	2095.296336	2609.018421	3122.740506
2017-08-05 0:00:00	2853.25	3333	2851.81	3260.74	3311.39	196.9632423	2265.524568	2659.451053	3053.377537
2017-08-06 0:00:00	3261.82	3292.77	3163.49	3229.26	551.92	213.8066408	2285.905139	2713.518421	3141.131703
2017-08-07 0:00:00	3228.05	3426	3194.54	3384.87	2565.89	219.6703794	2323.30082	2762.641579	3201.982338
2017-08-08 0:00:00	3392.04	3486.48	3335.83	3420.54	2734.15	228.1593024	2365.502974	2821.821579	3278.140184
2017-08-09 0:00:00	3418.46	3425.99	3238.85	3342.15	3354.51	266.4074265	2319.298305	2852.113158	3384.928011
2017-08-10 0:00:00	3342.63	3446.38	3315	3417.89	2147.92	284.8688995	2317.751675	2887.489474	3457.227273
2017-08-11 0:00:00	3418.96	3708.42	3357.18	3639.58	2584.54	308.9087238	2301.403605	2919.221053	3537.0385
2017-08-12 0:00:00	3638.11	3965.5	3598.02	3870.05	3051.76	347.1715275	2271.296945	2965.64	3659.983055
2017-08-13 0:00:00	3870.35	4163.16	3833.58	4053.9	2609.82	400.0461444	2223.937185	3024.029474	3824.121762
2017-08-14 0:00:00	4065	4327.98	3978.68	4321.51	4272.72	447.7273348	2207.212699	3102.667368	3998.122038
2017-08-15 0:00:00	4320.79	4426.74	3809.34	4156.91	7972.93	504.9984766	2187.21831	3197.215263	4207.212216
2017-08-16 0:00:00	4159.44	4391.64	3930	4384.11	3125.07	532.7495376	2210.334083	3275.833158	4341.332233
2017-08-17 0:00:00	4381.95	4475.77	4177.68	4275.7	3552.72	575.3637249	2209.396761	3360.124211	4510.85166
2017-08-18 0:00:00	4279.12	4361.38	3973.26	4106.93	3036.97	588.5444438	2265.81427	3442.903158	4619.992046
2017-08-19 0:00:00	4108.14	4188.39	3955.87	4148.19	2110.2	580.4762262	2354.510705	3515.463158	4676.41561
2017-08-20 0:00:00	4149.6	4187.25	4039.4	4061.3	1004.62	573.4480907	2437.419082	3584.315263	4731.211445
2017-08-21 0:00:00	4063.04	4088.31	3960	3990.9	1926.12	544.6846656	2564.535932	3653.905263	4743.274594
2017-08-22 0:00:00	3989.68	4143.41	3599.45	4021.9	4897.68	497.9767112	2725.701314	3721.654737	4717.608159
2017-08-23 0:00:00	4022.45	4243.94	4015.35	4148.16	2478.42	447.4442976	2891.661931	3786.550526	4681.439122
2017-08-24 0:00:00	4157.48	4350	4108.54	4312.44	1958.65	393.3279922	3067.796121	3854.452105	4641.10809
2017-08-25 0:00:00	4313.22	4453	4282.55	4356.32	2344.95	378.8703132	3152.06411	3909.804737	4667.545363
2017-08-26 0:00:00	4359.05	4374.39	4241.04	4340.94	1176.96	353.8006017	3261.522481	3969.123684	4676.724888
2017-08-27 0:00:00	4341.02	4393.65	4308.37	4315.74	1578.41	333.4944319	3352.454294	4019.443158	4686.432022
2017-08-28 0:00:00	4319.64	4397.42	4164.79	4385	1927.73	306.3097943	3453.939359	4066.558947	4679.178536
2017-08-29 0:00:00	4385.95	4641.08	4343.09	4589.06	3192.38	259.0860067	3603.273776	4121.445789	4639.617803
